Индекс;Тип региона;Регион;Город;Часовой пояс;Широта;Долгота;Население
142600;обл;Московская;Орехово-Зуево;UTC+3;55.8151729;38.9870711;120620
368000;Респ;Дагестан;Дербент;UTC+3;42.058935;48.2908653;119961
403870;обл;Волгоградская;Камышин;UTC+3;50.0651261;45.3843816;119924
357100;край;Ставропольский;Невинномысск;UTC+3;44.6227404;41.9476147;118351
143401;обл;Московская;Красногорск;UTC+3;55.8318475;37.32942;116738
602205;обл;Владимирская;Муром;UTC+3;55.5632276;42.023006;116078
346880;обл;Ростовская;Батайск;UTC+3;47.138321;39.7508382;112400
346900;обл;Ростовская;Новошахтинск;UTC+3;47.7576522;39.9364709;111087
141300;обл;Московская;Сергиев Посад;UTC+3;56.3063411;38.1502568;110878
629800;АО;Ямало-Ненецкий;Ноябрьск;UTC+5;63.201846;75.4509665;110572
141100;обл;Московская;Щелково;UTC+3;55.9234303;37.9784419;110380
667000;Респ;Тыва;Кызыл;UTC+7;51.7191542;94.4377234;109906
452601;Респ;Башкортостан;Октябрьский;UTC+5;54.4815344;53.4656611;109379
662150;край;Красноярский;Ачинск;UTC+7;56.2538662;90.47949;109156
636000;обл;Томская;Северск;UTC+7;56.6031143;84.8809687;108466
446200;обл;Самарская;Новокуйбышевск;UTC+4;53.0995303;49.9477662;108449
399770;обл;Липецкая;Елец;UTC+3;52.6151738;38.5289121;108404
297402;Респ;Крым;Евпатория;UTC+3;45.1904322;33.3667685;106840
607220;обл;Нижегородская;Арзамас;UTC+3;55.3947544;43.8407855;106367
249030;обл;Калужская;Обнинск;UTC+3;55.0943892;36.6121785;104798
629300;АО;Ямало-Ненецкий;Новый Уренгой;UTC+5;66.0840036;76.6810032;104144
368300;Респ;Дагестан;Каспийск;UTC+3;42.8916599;47.6366674;103914
358000;Респ;Калмыкия;Элиста;UTC+3;46.3082947;44.2701417;103728
141200;обл;Московская;Пушкино;UTC+3;56.0104548;37.8471438;102840
140180;обл;Московская;Жуковский;UTC+3;55.5998408;38.1224185;102729
692486;край;Приморский;Артем;UTC+10;43.350053;132.1596594;102636
652870;обл;Кемеровская;Междуреченск;UTC+7;53.6865695;88.0703888;101995
652500;обл;Кемеровская;Ленинск-Кузнецкий;UTC+7;54.6674092;86.1796724;101666
427960;Респ;Удмуртская;Сарапул;UTC+4;56.4616117;53.8036967;101390
357600;край;Ставропольский;Ессентуки;UTC+3;44.044461;42.8589078;100969
427430;Респ;Удмуртская;Воткинск;UTC+4;57.0517641;53.9874635;100034
142400;обл;Московская;Ногинск;UTC+3;55.8686239;38.4621635;99762
626109;обл;Тюменская;Тобольск;UTC+5;58.2016828;68.2538392;99698
169300;Респ;Коми;Ухта;UTC+3;63.5564779;53.7014202;99642
624980;обл;Свердловская;Серов;UTC+5;59.6048651;60.5752136;99381
633000;обл;Новосибирская;Бердск;UTC+7;54.7582375;83.1072212;98809
182100;обл;Псковская;Великие Луки;UTC+3;56.3321847;30.550757;98778
393760;обл;Тамбовская;Мичуринск;UTC+3;52.891294;40.510475;98758
652700;обл;Кемеровская;Киселевск;UTC+7;54.0060382;86.6367387;98382
462351;обл;Оренбургская;Новотроицк;UTC+5;51.1965071;58.3017455;97914
422521;Респ;Татарстан;Зеленодольск;UTC+3;55.8466751;48.5010882;97651
618541;край;Пермский;Соликамск;UTC+5;59.6483518;56.7710358;97239
140100;обл;Московская;Раменское;UTC+3;55.549529;38.273015;96355
102321;обл;Московская;Домодедово;UTC+3;55.4363901;37.7666263;96123
685000;обл;Магаданская;Магадан;UTC+11;59.5681763;150.8085289;95925
427620;Респ;Удмуртская;Глазов;UTC+4;58.1359111;52.6634998;95835
347800;обл;Ростовская;Каменск-Шахтинский;UTC+3;48.3204412;40.268874;95306
307170;обл;Курская;Железногорск;UTC+3;52.3378753;35.3516834;95057
663600;край;Красноярский;Канск;UTC+7;56.2049776;95.7051246;94230
386100;Респ;Ингушетия;Назрань;UTC+3;43.2257977;44.764685;93357
188300;обл;Ленинградская;Гатчина;UTC+3;59.5650861;30.1281859;92566
607180;обл;Нижегородская;Саров;UTC+3;54.9227002;43.3447792;92073
624130;обл;Свердловская;Новоуральск;UTC+5;57.2471507;60.095701;91813
140200;обл;Московская;Воскресенск;UTC+3;55.3071305;38.7026949;91301
141700;обл;Московская;Долгопрудный;UTC+3;55.9384901;37.5100527;90976
423230;Респ;Татарстан;Бугульма;UTC+3;54.5363428;52.7895286;89144
442530;обл;Пензенская;Кузнецк;UTC+3;53.1131686;46.6052497;88886
309180;обл;Белгородская;Губкин;UTC+3;51.2836362;37.5347608;88562
155800;обл;Ивановская;Кинешма;UTC+3;57.4425441;42.1690039;88113
353680;край;Краснодарский;Ейск;UTC+3;46.7114611;38.2764915;87771
143960;обл;Московская;Реутов;UTC+3;55.758236;37.8619443;87195
666671;обл;Иркутская;Усть-Илимск;UTC+8;57.9431325;102.7414683;86591
662970;край;Красноярский;Железногорск;UTC+7;56.2529346;93.532167;85559
665450;обл;Иркутская;Усолье-Сибирское;UTC+8;52.7567192;103.6387694;83364
617760;край;Пермский;Чайковский;UTC+5;56.7780203;54.1478482;82933
346780;обл;Ростовская;Азов;UTC+3;47.1120631;39.4232597;82882
461040;обл;Оренбургская;Бузулук;UTC+5;52.7881434;52.2623757;82816
456780;обл;Челябинская;Озерск;UTC+5;55.7631922;60.7076337;82268
412300;обл;Саратовская;Балашов;UTC+4;51.5389502;43.1839828;82222
652050;обл;Кемеровская;Юрга;UTC+7;55.7202689;84.8885516;81536
613040;обл;Кировская;Кирово-Чепецк;UTC+3;58.5559921;50.0317608;80920
